# from	to	version	name	size	sha256	url
af	en	2.0	lex.50.50.afen.s2t.bin	4082680	c1df823cdd116180ecb8c22b3a76e8f6cb7d0eb9df55363fa2f826e5c194134e	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143425--ecb42e11-64df-4f45-9416-d328a21cc8f9--359df2ae-3ec2-4d87-9e1d-6aaa1741cd16.bin
af	en	2.0	model.afen.intgemm.alphas.bin	31561787	d43baa7ab565a6cdc2bc230a4ab6fcaf7b4a871e53e42cc7128e55871ef36086	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143421--c2855f70-93d8-425e-a3de-75076ae8f8fe--bb7dcf31-5fc2-42ca-9d23-02185b3983ea.bin
af	en	2.0	vocab.afen.spm	809319	b103314260d3979df36ad51a51095d81f5b306619a2543451617959822edacda	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143423--f2e6306f-edb5-4437-9b5e-b39058031644--62d1c1fc-9f29-4728-af8b-952b6357ef20.spm
ar	en	2.2	lex.50.50.aren.s2t.bin	4627200	4b45f14dbea40d368093a13563fc1ca48457ee70c1291c82b206f3baff210081	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/856e509e-56c6-4b05-ab20-acd66650eaf0.bin
ar	en	2.2	model.aren.intgemm.alphas.bin	31561787	7b7af0282dc5f4d8805b9a298c2fa828967e3f09ca10f1942ebeea0b2cfc12fa	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/d66f948a-452f-45d4-adc1-e9cb9acb8766.bin
ar	en	2.2	vocab.aren.spm	860035	51b4ee3f828d10015464523d0b4f5a6c086b0b2a9bde716a581001cf6c260366	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/2dc6ab68-1f3e-4149-9c7c-d3dc1e6f70c3.spm
bg	en	2.0	lex.50.50.bgen.s2t.bin	4355920	e661dfdd88aa9ff9606f237a60c910d97c2e710960199589579f628c5d8aa899	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/bb8b98f9-8067-442f-ae1c-d21a7182bc4d.bin
bg	en	2.0	model.bgen.intgemm.alphas.bin	31561787	78f7e6e1435cc2d4a29cf597f493187fe29ddb9ce9d3766c287e2e6d37052d01	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/97fce537-11f0-4af5-a558-c314c9d25d09.bin
bg	en	2.0	vocab.bgen.spm	922482	4bafad5fcc0e771ed82233d1e99d69dcb96487b430702f7e688615c8a61f3df4	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/747b9ae8-c42c-41a5-913c-704fde180308.spm
bn	en	1.0	lex.50.50.bnen.s2t.bin	4793596	aea901a6bd8722962551c0349b8570af684444028b62bbff465be9931e6e9800	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/884d5a04-b0ff-4dc0-ba3d-efc1c57d1765.bin
